"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.898547614E1,6.375649792E1,2.531076845E1,9.954859404E1,1.226304341E0,9.991662356E1,4.756496058E0,3.346682280E0
5.998549712E1,6.375649534E1,2.531081527E1,9.997185459E1,1.136596064E0,9.947129118E1,4.757681093E0,3.344997407E0
6.098551965E1,6.375650317E1,2.531098117E1,1.001071001E2,1.213993611E0,9.524697876E1,4.758406178E0,3.343965861E0
6.198553848E1,6.375649950E1,2.531101486E1,1.001907033E2,1.307652812E0,9.524697876E1,4.758370871E0,3.344016102E0
6.298555815E1,6.375649793E1,2.531104057E1,1.001229209E2,1.275451488E0,9.524697876E1,4.758323287E0,3.344083810E0
6.398557806E1,6.375649745E1,2.531106924E1,1.004221513E2,1.308408521E0,9.412945557E1,4.757707786E0,3.344959440E0
6.498559856E1,6.375650040E1,2.531108565E1,1.008752671E2,1.157239642E0,9.412945557E1,4.757540719E0,3.345197056E0
6.598561966E1,6.375649816E1,2.531111851E1,1.007751738E2,1.266318754E0,9.412945557E1,4.758672362E0,3.343587053E0
6.698563945E1,6.375649835E1,2.531113304E1,1.009003520E2,9.805837362E-1,9.412945557E1,4.759076490E0,3.343011815E0
6.798566043E1,6.375649605E1,2.531115844E1,1.009724577E2,1.011955815E0,9.187518311E1,4.759828708E0,3.341940709E0
6.898567986E1,6.375649284E1,2.531118465E1,1.008631715E2,1.214204141E0,9.187518311E1,4.759769785E0,3.342024629E0
6.998569965E1,6.375648654E1,2.531120922E1,1.010086566E2,1.309712149E0,9.187518311E1,4.760018859E0,3.341669866E0
7.098571992E1,6.375649448E1,2.531122216E1,1.010429748E2,1.348329999E0,9.187518311E1,4.733795067E0,3.378715924E0
7.198574078E1,6.375649153E1,2.531124565E1,1.018067593E2,1.255835328E0,9.187518311E1,4.733775032E0,3.378743994E0
7.298576057E1,6.375649091E1,2.531126791E1,1.016661117E2,1.139814655E0,9.110040283E1,4.733829935E0,3.378667072E0
7.398578346E1,6.375648869E1,2.531129876E1,1.018608542E2,1.283499174E0,9.110040283E1,4.733107265E0,3.379679372E0
7.498580372E1,6.375648633E1,2.531132815E1,1.018747001E2,1.338688029E0,9.110040283E1,4.733137348E0,3.379637240E0
7.598582101E1,6.375648625E1,2.531135268E1,1.024521911E2,1.285936417E0,9.110040283E1,4.732776000E0,3.380143247E0
7.698584330E1,6.375648732E1,2.531138012E1,1.024172784E2,1.276759306E0,9.110040283E1,4.732412262E0,3.380652484E0
7.798586094E1,6.375648635E1,2.531140683E1,1.024522866E2,1.328732303E0,8.945239258E1,4.732460330E0,3.380585195E0
7.898588192E1,6.375648718E1,2.531143045E1,1.026915389E2,1.222937476E0,8.945239258E1,4.732917686E0,3.379944853E0
7.998590147E1,6.375648648E1,2.531145693E1,1.025630360E2,1.242169311E0,8.945239258E1,4.733049394E0,3.379760415E0
8.098592198E1,6.375648327E1,2.531148422E1,1.026106385E2,1.278451468E0,8.945239258E1,4.733112396E0,3.379672186E0
8.198594403E1,6.375648287E1,2.531151433E1,1.026742827E2,1.371144755E0,8.945239258E1,4.732531862E0,3.380485055E0
8.298596108E1,6.375648135E1,2.531154367E1,1.023397015E2,1.359690933E0,8.945239258E1,4.733467676E0,3.379174573E0
8.398598230E1,6.375647869E1,2.531157086E1,1.023258412E2,1.374852373E0,8.945239258E1,4.733176522E0,3.379582377E0
8.498600233E1,6.375647854E1,2.531159837E1,1.022529464E2,1.305377621E0,8.945239258E1,4.733170838E0,3.379590337E0
8.598602247E1,6.375647824E1,2.531162242E1,1.023454505E2,1.215082972E0,8.945239258E1,4.732657747E0,3.380308815E0
8.698604262E1,6.375647827E1,2.531164868E1,1.026320791E2,1.251840163E0,8.945239258E1,4.732733679E0,3.380202502E0
8.798606217E1,6.375647567E1,2.531167501E1,1.024492559E2,1.293351068E0,8.945239258E1,4.732874991E0,3.380004637E0
8.898608136E1,6.375647405E1,2.531170032E1,1.022260170E2,1.275926215E0,8.884432983E1,4.732701471E0,3.380247598E0
8.998610282E1,6.375647302E1,2.531172412E1,1.026010002E2,1.222871584E0,8.884432983E1,4.733577637E0,3.379020537E0
9.098612499E1,6.375647002E1,2.531174961E1,1.023416570E2,1.259967695E0,8.884432983E1,4.733290869E0,3.379422226E0
9.198614192E1,6.375646955E1,2.531177708E1,1.024308272E2,1.283769778E0,8.884432983E1,4.733047896E0,3.379762514E0
9.298616183E1,6.375646839E1,2.531180283E1,1.023298807E2,1.280018900E0,8.884432983E1,4.733475374E0,3.379163790E0
9.398618305E1,6.375646511E1,2.531182944E1,1.022317964E2,1.278951501E0,8.884432983E1,4.733480713E0,3.379156311E0
9.498620248E1,6.375646275E1,2.531185463E1,1.022466387E2,1.238258334E0,8.638314819E1,4.733509729E0,3.379115665E0
9.598622227E1,6.375645991E1,2.531187863E1,1.022321579E2,1.245799414E0,8.638314819E1,4.733821523E0,3.378678858E0
9.698624265E1,6.375645554E1,2.531190426E1,1.021193137E2,1.286981100E0,8.638314819E1,4.734070805E0,3.378329564E0
9.798626232E1,6.375645152E1,2.531192872E1,1.017965588E2,1.266261025E0,8.638314819E1,4.734588555E0,3.377603922E0
9.898628199E1,6.375644477E1,2.531195364E1,1.015186630E2,1.259438539E0,8.638314819E1,4.734813251E0,3.377288929E0
9.998630536E1,6.375643789E1,2.531197966E1,1.015317743E2,1.329371042E0,8.638314819E1,4.734668617E0,3.377491691E0
1.009863226E2,6.375642963E1,2.531200000E1,1.015671094E2,1.280365975E0,8.638314819E1,4.734527488E0,3.377689520E0
1.019863427E2,6.375642557E1,2.531201595E1,1.015476641E2,1.257141165E0,8.638314819E1,4.733818564E0,3.378683003E0
1.029863625E2,6.375642617E1,2.531203765E1,1.016277084E2,1.317389847E0,8.638314819E1,4.734215522E0,3.378126762E0
1.039863828E2,6.375642617E1,2.531203757E1,1.017032781E2,5.655410145E-1,8.638314819E1,4.734041246E0,3.378370986E0
1.049864028E2,6.375642720E1,2.531207446E1,1.017649568E2,1.313640235E0,8.638314819E1,4.733189507E0,3.379564192E0
1.059864234E2,6.375642797E1,2.531210181E1,1.018149414E2,1.365918899E0,8.638314819E1,4.732662610E0,3.380302007E0
1.069864423E2,6.375642872E1,2.531212869E1,1.017120109E2,1.336972082E0,8.638314819E1,4.734258500E0,3.378066532E0
1.079864626E2,6.375642941E1,2.531215348E1,1.018438053E2,1.179165646E0,8.638314819E1,4.735151760E0,3.376814304E0
1.089864824E2,6.375642924E1,2.531218016E1,1.018130839E2,1.186737313E0,8.396149404E1,4.735752666E0,3.375971523E0
1.099865048E2,6.375642928E1,2.531220499E1,1.016989780E2,1.143644640E0,8.301249516E1,4.736324771E0,3.375168839E0
1.109865234E2,6.375642920E1,2.531222895E1,1.015943901E2,1.123505577E0,8.504621246E1,4.735549750E0,3.376256152E0
1.119865420E2,6.375643030E1,2.531226124E1,1.016957559E2,1.340577609E0,8.286368612E1,4.736216430E0,3.375320868E0
1.129865628E2,6.375643040E1,2.531228756E1,1.014850717E2,1.305830462E0,8.470969501E1,4.736063989E0,3.375534761E0
1.139865818E2,6.375642695E1,2.531230970E1,1.011590819E2,1.168246220E0,9.872661486E1,4.735884394E0,3.375786729E0
1.149866023E2,6.375641793E1,2.531232314E1,1.012798596E2,1.073526742E0,1.272091804E2,4.735694515E0,3.376053093E0
1.159866227E2,6.375640753E1,2.531234979E1,1.010902030E2,1.281743695E0,1.341697432E2,4.734824978E0,3.377272488E0
1.169866419E2,6.375639441E1,2.531235701E1,1.008769058E2,1.218900812E0,1.460058539E2,4.735714013E0,3.376025744E0
1.179866619E2,6.375637817E1,2.531236433E1,1.009491096E2,1.397496185E0,1.520675887E2,4.735600371E0,3.376185149E0
1.189866825E2,6.375636834E1,2.531235561E1,1.013683291E2,1.253137014E0,1.682170410E2,4.734361000E0,3.377922875E0
1.199867026E2,6.375635987E1,2.531234864E1,1.012365121E2,1.075192693E0,1.734718018E2,4.736135600E0,3.375434285E0
1.209867224E2,6.375635000E1,2.531234771E1,1.014190497E2,1.029264063E0,1.734718018E2,4.737004101E0,3.374215342E0
1.219867426E2,6.375634072E1,2.531234929E1,1.016130311E2,1.013704040E0,1.682170410E2,4.736187609E0,3.375361309E0
1.229867634E2,6.375632927E1,2.531235223E1,1.023780806E2,9.780671843E-1,1.637194824E2,4.735390792E0,3.376479095E0
1.239867818E2,6.375631507E1,2.531235785E1,1.020441739E2,1.266455977E0,1.590506592E2,4.736522968E0,3.374890696E0
1.249868021E2,6.375630658E1,2.531235963E1,1.021156364E2,9.733931230E-1,1.590506592E2,4.734629199E0,3.377546947E0
1.259868221E2,6.375629231E1,2.531236799E1,1.024418854E2,1.146869390E0,1.546468506E2,4.735080546E0,3.376914162E0
1.269868414E2,6.375628078E1,2.531237431E1,1.024038556E2,1.181978461E0,1.546468506E2,4.736242667E0,3.375284052E0
1.279868631E2,6.375626819E1,2.531238250E1,1.022444806E2,1.204349756E0,1.546468506E2,4.735636291E0,3.376134765E0
1.289868826E2,6.375625692E1,2.531239456E1,1.024958003E2,1.149565197E0,1.546468506E2,4.736158296E0,3.375402440E0
1.299869025E2,6.375624986E1,2.531240212E1,1.026852113E2,9.263107483E-1,1.546468506E2,4.733892382E0,3.378579575E0
