"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.163860125E0,2.871250395E-1,2.711580478E-1,-2.195132464E-1
2.173893125E0,2.385598205E-1,5.059551850E-2,-2.171065325E-1
2.183926125E0,1.046973199E-2,2.372244626E-2,-1.088926971E-2
2.193958125E0,-9.896368638E-2,5.578419149E-2,2.184402823E-1
2.203991125E0,-2.732111514E-3,4.502078310E-2,3.640301049E-1
2.214023125E0,1.183344886E-2,-1.951464370E-2,4.213427585E-1
2.224056125E0,5.017656550E-2,-1.435682939E-1,4.119901371E-1
2.234088125E0,1.085677381E-1,-1.658502786E-1,3.516141272E-1
2.244121125E0,1.964781404E-2,-1.240355238E-2,2.949587005E-1
2.254153125E0,3.314494193E-3,6.369678989E-2,2.054974705E-1
2.264186125E0,2.287169100E-1,-4.527528316E-2,2.007226342E-1
2.274218125E0,4.638099164E-1,-5.990136221E-2,5.266458499E-1
2.284251125E0,3.989536236E-1,6.606783584E-2,8.048744971E-1
2.294283125E0,3.400255305E-1,1.048689356E-1,7.360568619E-1
2.304316125E0,2.052466249E-1,3.902987212E-2,2.206078452E-1
2.314349125E0,-1.388326339E-1,4.591072932E-2,-2.913568157E-1
2.324381125E0,-3.293075842E-1,2.624663079E-1,-5.890461659E-1
2.334414125E0,-1.703312923E-1,4.886893804E-1,-6.646120727E-1
2.344446125E0,1.817921273E-1,1.799585867E-1,-5.574998528E-1
2.354479125E0,1.260782486E-1,-3.387387045E-1,-3.612380594E-1
2.364511125E0,-1.488895525E-1,-3.832567732E-1,3.142925191E-1
2.374544125E0,9.687959254E-3,-1.633348064E-1,1.053232058E0
2.384576125E0,3.633224456E-1,-1.401931348E-1,1.280451935E0
2.394609125E0,4.146148060E-1,-2.215254195E-1,9.257212418E-1
2.404641125E0,3.817006829E-1,-2.946061134E-1,4.900440341E-1
2.414674125E0,2.187048689E-1,-1.438933991E-1,-6.431820273E-2
2.424706125E0,1.238704862E-1,6.225895956E-2,-4.841424394E-1
2.434739125E0,2.749625386E-1,7.783988893E-2,-5.166091043E-1
2.444771125E0,2.397396424E-1,9.476611644E-2,-3.239702457E-1
2.454804125E0,2.204885620E-1,1.002342863E-1,-1.111339349E-1
2.464837125E0,1.942445040E-1,1.129133888E-1,-4.494871616E-2
2.474869375E0,1.050972694E-1,3.066499159E-2,-1.778202599E-1
2.484902375E0,5.712144971E-3,-1.541532160E-1,-1.056106550E-1
2.494934375E0,-7.127609700E-2,-1.021344852E-1,1.471451819E-1
2.504967375E0,3.660330686E-1,1.219327189E-1,4.780151421E-1
2.514999375E0,7.742912203E-1,1.732538769E-1,-9.831011385E-1
2.525032375E0,3.752266458E-1,5.245244801E-1,-2.105715088E0
2.535064375E0,4.071132669E-1,7.066409817E-1,-6.256970984E-1
2.545097375E0,4.698758179E-1,4.575990039E-1,5.228837514E-1
2.555129375E0,6.361946046E-2,1.610033754E-1,9.137607622E-1
2.565162375E0,-3.481294790E-1,-1.754084297E-1,4.368606842E-1
2.575194375E0,-6.920501322E-1,-4.140470414E-1,-5.911535025E-3
2.585227375E0,-7.663197112E-1,-4.718108077E-1,-9.578265488E-2
2.595260375E0,-5.720173198E-1,-4.326781708E-1,1.529163837E-1
2.605292375E0,-2.871292788E-1,-2.755598317E-1,1.154012328E-1
2.615325375E0,1.710047454E-2,-7.551313564E-2,-7.045310140E-2
2.625357375E0,3.301203471E-1,1.320245746E-1,-1.654446280E-1
2.635390375E0,3.764580694E-1,3.005619411E-1,-2.559332138E-1
2.645422375E0,3.760657212E-1,4.261955090E-1,-4.033479524E-1
2.655455375E0,2.540878326E-1,4.182525051E-1,-5.590838635E-1
2.665487375E0,1.326291767E-1,3.106573051E-1,-6.194546109E-1
2.675520375E0,2.921502829E-2,2.941987087E-1,-5.135936952E-1
2.685552375E0,6.335706666E-2,2.981900181E-1,-3.248151684E-1
2.695585375E0,1.191130453E-1,2.190843531E-1,-2.018657649E-1
2.705617375E0,3.444390088E-2,4.526753560E-2,-1.318862879E-1
2.715650375E0,-1.986774243E-1,-1.060021260E-1,1.751884282E-2
2.725682375E0,-4.563491616E-1,-2.385883257E-1,1.462657607E-1
2.735715375E0,-5.702942915E-1,-3.777994207E-1,1.869676441E-1
2.745747375E0,-6.324917091E-1,-5.079974712E-1,1.704913598E-1
2.755780375E0,-5.575792287E-1,-6.570824669E-1,1.938790530E-1
2.765812375E0,-3.229029827E-1,-6.220708014E-1,3.381105673E-1
2.775845375E0,1.986379556E-1,-3.659868756E-1,6.413097489E-1
2.785878375E0,5.862232764E-1,-3.685426936E-2,7.200080091E-1
2.795910375E0,6.594893271E-1,3.531329414E-1,4.266976386E-1
2.805943375E0,5.467658266E-1,7.175679660E-1,-1.235528362E-1
2.815975375E0,4.110927357E-1,8.906303465E-1,-5.116272765E-1
2.826008375E0,4.325973330E-1,7.940290815E-1,-5.590277302E-1
2.836040375E0,3.559197244E-1,5.319548294E-1,-5.558398283E-1
2.846073375E0,7.622518033E-2,4.140863639E-1,-5.079464543E-1
2.856105375E0,-8.155535594E-2,3.860567124E-1,-3.706608474E-1
2.866138375E0,-1.727382986E-1,2.627845426E-1,-1.488899910E-1
2.876170375E0,-2.276059391E-1,1.465534437E-1,1.340591133E-1
2.886203375E0,-3.114687525E-1,1.382819724E-1,3.472082502E-1
2.896235375E0,-3.602487105E-1,2.066413321E-1,3.552779925E-1
2.906268375E0,-2.171632504E-1,3.853157240E-1,1.290544814E-1
2.916300375E0,7.659501672E-2,4.276754393E-1,-2.868766791E-1
2.926333375E0,2.050421186E-1,2.563904661E-1,-6.714562386E-1
2.936366375E0,9.728041917E-2,1.190088187E-1,-7.387021422E-1
2.946398375E0,-1.532691170E-1,8.651686460E-2,-4.840880603E-1
2.956431375E0,-3.785604358E-1,7.955867797E-2,-1.257005185E-1
2.966463375E0,-4.816522564E-1,4.141027361E-2,1.864437336E-1
2.976496375E0,-4.795921361E-1,7.109190971E-2,3.580179977E-1
2.986528375E0,-4.033103840E-1,1.447546940E-1,3.058620036E-1
2.996561375E0,-3.203488458E-1,1.857039146E-1,1.759199148E-1
3.006593375E0,-2.237900461E-1,1.747769304E-1,1.041722399E-1
3.016626375E0,5.660367876E-2,9.621242523E-2,2.085976642E-1
3.026658375E0,3.619186753E-1,-5.095556080E-2,4.020264816E-1
3.036691375E0,4.367536801E-1,-4.667700693E-2,5.879199922E-1
3.046723375E0,3.954895138E-1,8.638062447E-2,7.550550503E-1
3.056756375E0,2.540598390E-1,2.130199134E-1,7.215592754E-1
3.066788375E0,4.478331305E-2,2.406953698E-1,4.714311773E-1
3.076821375E0,-9.341701761E-2,1.763311203E-1,1.584671456E-1
3.086853375E0,-1.047120841E-1,7.535277575E-2,-1.050943458E-1
3.096886375E0,-2.346560732E-2,-3.367996216E-4,-2.675305814E-1
3.106918375E0,-2.242114842E-3,-1.417905942E-2,-3.031874871E-1
3.116951375E0,2.088618122E-2,-4.991753384E-2,-2.160218740E-1
3.126983375E0,5.592408612E-2,-8.108801723E-2,-1.162601888E-2
3.137016375E0,4.666735902E-2,-1.622397691E-2,1.849807602E-1
3.147049375E0,9.476480082E-2,4.400029778E-5,2.454684520E-1
3.157081375E0,1.474593236E-1,-1.056153327E-1,1.331674129E-1
3.167114375E0,1.883022711E-1,-1.630518012E-1,-5.857448280E-2
3.177146375E0,1.109970369E-1,-6.327125877E-2,-1.431030017E-1
3.187179375E0,-3.019531399E-2,6.940703452E-2,-1.800217366E-1
3.197211375E0,-1.613173708E-2,1.230322878E-1,-2.219749242E-1
3.207244375E0,1.089416675E-1,1.936151974E-1,-2.909732383E-1
3.217276375E0,1.610804855E-1,1.957415374E-1,-2.763967144E-1
3.227309375E0,1.825557006E-1,1.224329482E-1,-2.460221833E-1
3.237341375E0,1.557525026E-1,1.321130137E-1,-1.666906697E-1
3.247374375E0,1.609529431E-1,1.009251349E-1,-5.348448157E-3
3.257406375E0,7.400455400E-2,8.312708750E-2,1.040389234E-1
3.267439375E0,7.378455251E-3,5.626834095E-2,1.985837227E-1
3.277471375E0,-9.333047882E-2,5.585625842E-2,2.226111013E-1
3.287504375E0,-1.487128935E-1,1.109953558E-1,1.579584378E-1
3.297536375E0,-8.481181651E-2,1.576061431E-1,4.563751817E-2
3.307569375E0,-3.166479237E-2,1.767430566E-1,-2.997282743E-2
3.317601375E0,-6.828444220E-2,1.458972399E-1,-5.562046945E-2
3.327634375E0,-6.153098121E-2,1.069742256E-1,-4.201867640E-2
3.337666375E0,-7.208966397E-2,7.025502697E-2,5.408732951E-2
3.347699375E0,-8.241182685E-2,4.184779152E-2,2.022762394E-1
3.357731375E0,-4.374462828E-2,1.707913220E-2,2.881291527E-1
3.367764375E0,-2.282380231E-2,3.913672999E-2,3.165542221E-1
3.377797375E0,1.935494162E-2,4.766664818E-2,2.882408345E-1
3.387829375E0,2.346253753E-2,1.627718657E-2,1.286469305E-1
3.397862375E0,-5.037032761E-2,3.943011403E-2,-2.202704608E-2
3.407894375E0,-3.438089713E-2,1.418383951E-1,-9.915825248E-2
3.417927375E0,4.642316468E-2,2.258409570E-1,-2.048478448E-1
3.427959375E0,1.520907569E-1,2.885295407E-1,-3.557849461E-1
3.437992375E0,3.008920895E-1,3.716420102E-1,-4.714545661E-1
3.448024375E0,4.140641445E-1,3.217059115E-1,-4.646858293E-1
3.458057375E0,3.396525146E-1,2.256183243E-1,-3.089177585E-1
3.468089375E0,1.529999258E-1,1.321600838E-1,-5.348448157E-3
3.478122375E0,1.734280508E-2,2.202865407E-2,2.838641936E-1
3.488154375E0,-6.037147835E-2,-1.223522566E-1,4.477248108E-1
3.498187375E0,-1.386082105E-1,-2.536228327E-1,4.555653423E-1
3.508219375E0,-1.771630694E-1,-2.819410443E-1,4.106066859E-1
3.518252375E0,-1.122669060E-1,-2.119679993E-1,3.183013701E-1
3.528284375E0,-3.598782163E-2,-4.471994385E-2,1.488239175E-1
3.538317375E0,4.057269651E-2,1.424418278E-1,-1.289252579E-2
3.548349375E0,1.271853458E-1,2.452195068E-1,-2.069353008E-1
3.558382375E0,1.950732737E-1,2.736901845E-1,-3.278282386E-1
3.568414375E0,2.349981353E-1,2.556892388E-1,-3.237802112E-1
3.578447375E0,1.560914584E-1,2.387616956E-1,-2.545240349E-1
3.588479375E0,5.634640127E-2,1.417299293E-1,-1.835674882E-1
3.598512375E0,-3.340214632E-2,-2.003460735E-2,-1.275266039E-1
3.608544375E0,-1.440827392E-1,-1.271618839E-1,-2.844319582E-2
3.618577375E0,-2.666600040E-1,-1.629681860E-1,1.701247394E-1
3.628609375E0,-2.633691180E-1,-1.490819259E-1,3.913290006E-1
3.638642375E0,-1.792644491E-1,-1.412568896E-1,4.042308819E-1
3.648675375E0,-1.403795514E-1,-1.137227896E-1,2.579101574E-1
3.658707375E0,-3.468652379E-2,1.112505868E-2,1.162964416E-1
3.668740375E0,6.427350808E-2,1.009216265E-1,3.735786080E-3
3.678772375E0,1.001260032E-1,1.118753618E-1,-7.866785467E-2
3.688805375E0,1.522229771E-1,1.190094034E-1,-9.803909540E-2
3.698837375E0,1.389928842E-1,1.274277860E-1,-3.559784889E-3
3.708870375E0,3.181342129E-2,6.497806102E-2,1.024379557E-1
3.718902375E0,-8.996471185E-2,-4.391492844E-2,1.235996139E-1
3.728935375E0,-1.558915202E-1,-1.265928036E-1,1.097189087E-1
3.738967375E0,-1.242898777E-1,-1.366488451E-1,6.018305182E-2
3.749000375E0,-6.808479633E-2,-9.297306776E-2,5.142275333E-2
3.759032375E0,-1.598880921E-2,1.160394564E-2,9.952487290E-2
3.769065375E0,5.064317331E-2,1.301939575E-1,3.377351761E-2
3.779097375E0,1.202190827E-1,1.707306571E-1,-1.060918808E-1
3.789130375E0,1.543714634E-1,1.630016613E-1,-1.647435468E-1
3.799162375E0,1.246022287E-1,1.434155354E-1,-1.709135288E-1
3.809195375E0,8.383405242E-2,1.234315065E-1,-1.277277482E-1
3.819227375E0,9.439774185E-2,1.210095897E-1,-4.170234203E-3
3.829260375E0,1.150375726E-1,5.735168383E-2,7.162839174E-2
